Rank,Institution,Location,Continent,Founded,Affiliation,Distance / In-Person,Enrollment
1,Indira Gandhi National Open University,"New Delhi, India",Asia,1985,Public,Distance/In-Person,7140000
2, California Community Colleges System,"California, United States",North America,1967,Public,In-Person,2133846
3," National University, Bangladesh","Gazipur, Bangladesh",Asia,1992,Public,In-Person,2097182
4, Anadolu University,"Eskişehir, Turkey",Asia,1958,Public,Distance/In-Person,1974343
5, Allama Iqbal Open University,"Islamabad, Pakistan",Asia,1974,Public,Distance/In-Person,1027000
6, Islamic Azad University,Iran,Asia,1982,Private,In-Person,1000000
7," Laureate Education, Inc.",International,Global,1999,Private,Distance/In-Person,875000
8, Bangladesh Open University,"Gazipur, Bangladesh",Asia,1992,Public,Distance,650000
9, Universitas Terbuka,"Jakarta, Indonesia",Asia,1984,Public,Distance,646467
10, National Technological Institute of Mexico,Mexico,North America,1948 and 2014,Public,In-Person,620000
11, State University of New York system,"New York, United States",North America,1948,Public,In-Person,606232
12, Tribhuvan University,"Kirtipur, Nepal",Asia,1959,Public,In-Person,604437
13, Savitribai Phule Pune University,"Pune, Maharashtra, India",Asia,1948,Public,In-Person,665000
14, Chaudhary Charan Singh University,"Meerut, Uttar Pradesh, India",Asia,1965,Public,In-Person,560000
15, University of Mumbai,"Mumbai, Maharashtra, India",Asia,1857,Public,In-Person,549432
16, Ramkhamhaeng University,"Bangkok, Thailand",Asia,1971,Public,In-Person,525000
17, National Open University of Nigeria,Nigeria,Africa,2002,Public,Distance,515000
18, California State University system,"California, United States",North America,1857,Public,In-Person,479000
19, University System of Ohio,"Ohio, United States",North America,2007,Public,In-Person,478000
20, University of the Punjab,"Lahore, Punjab, Pakistan",Asia,1882,Public,In-Person,450000
21, Dr. B R Ambedkar Open University,"Telangana, India",Asia,1982,Public,Distance,450000
22, University of South Africa,"Pretoria, Gauteng, South Africa",Africa,1873,Public,Distance,420000
23, University of Delhi,"Delhi, India",Asia,1922,Public,In-Person,400000
24, Payame Noor University,Iran,Asia,1987,Public,Distance/In-Person,400000
25, Sikkim Manipal University,"Sikkim, India",Asia,1995,Private,In-Person,390000
26, Minnesota State Colleges and Universities,"Minnesota, United States",North America,1995,Public,In-Person,375000
27, National Autonomous University of Mexico,"Mexico City, Mexico",North America,1551,Public,In-Person,356530
28, University System of Georgia,"Georgia, United States",North America,1931,Public,In-Person,318027
29, University of Buenos Aires,"Buenos Aires, Argentina",South America,1821,Public,In-Person,316050
30, State University System of Florida,"Florida, United States",North America,1954,Public,In-Person,358522
31, Osmania University,"Hyderabad, Telangana, India",Asia,1918,Public,In-Person,300000
32, City University of New York,"New York, United States",North America,1961,Public,In-Person,274357
33, National University of Distance Education,Spain,Europe,1972,Public,Distance/In-Person,260079
34, Rajiv Gandhi Technical University,"Bhopal, Madhya Pradesh, India",Asia,1998,Public,In-Person,260000
35, Cairo University,"Giza, Egypt",Africa,1908,Public,In-Person,257200
36, University of California system,"California, United States",North America,1869,Public,In-Person,238700
37, University of Texas System,"Texas, United States",North America,1881,Public,In-Person,221337
