
set D := 	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92
;

set H := 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
;

set W := 	1	4	5	6	7	8	11	12	13	14	15	18	19	20	21	22	25	26	27	28	29	32	33	34	35	36	39	40	41	42	43	46	47	48	49	50	53	54	55	56	57	60	61	62	63	64	67	68	69	70	71	74	75	76	77	78	81	82	83	84	85	88	89	90	91	92
;

set G := 	3	10	17	24	31	38	45	52	59	66	73	80	87
;

set U :=	27	28	29	30	31	32	33	34	35	36	37	38	39
;

set V[27] :=	4,	5,	6,	7,	8;
set V[28] :=	11,	12,	13,	14,	15;
set V[29] :=	18,	19,	20,	21,	22;
set V[30] :=	25,	26,	27,	28,	29;
set V[31] :=	32,	33,	34,	35,	36;
set V[32] :=	39,	40,	41,	42,	43;
set V[33] :=	46,	47,	48,	49,	50;
set V[34] :=	53,	54,	55,	56,	57;
set V[35] :=	60,	61,	62,	63,	64;
set V[36] :=	67,	68,	69,	70,	71;
set V[37] :=	74,	75,	76,	77,	78;
set V[38] :=	81,	82,	83,	84,	85;
set V[39] :=	88,	89,	90,	91,	92;			



param r = 7.5;

param c = 5.5;

param c2 = 2.75;




param p :
	0		1		2		3		4		5		6		7		8		9		10		11		12		13		14		15		16		17		18		19		20		21		22		23		:=
1	0.15826	0.15575	0.15532	0.15507	0.15345	0.15348	0.16195	0.17971	0.1847	0.18314	0.18206	0.18312	0.1791	0.1797	0.17989	0.16457	0.17924	0.17933	0.17389	0.16891	0.16406	0.16182	0.15879	0.15584
2	0.16167	0.16029	0.15828	0.15776	0.1574	0.15737	0.15769	0.15823	0.15797	0.15785	0.15127	0.12976	0.11997	0.12102	0.13488	0.14885	0.1575	0.15765	0.15836	0.15792	0.15761	0.15742	0.15758	0.15741
3	0.15971	0.15702	0.15536	0.15479	0.15443	0.15429	0.15491	0.15514	0.15594	0.15457	0.14451	0.10784	0.09607	0.07075	0.07776	0.13251	0.15891	0.16066	0.16117	0.16137	0.16322	0.16287	0.16141	0.16066
4	0.15918	0.15826	0.15783	0.1577	0.15759	0.15825	0.15935	0.15864	0.1607	0.16153	0.16234	0.16199	0.16293	0.16286	0.16178	0.16107	0.15848	0.16271	0.16279	0.16163	0.15856	0.15805	0.15662	0.15454
5	0.16441	0.16386	0.16334	0.16301	0.16261	0.16374	0.16182	0.14603	0.16334	0.16154	0.16401	0.16346	0.16322	0.1636	0.16399	0.16219	0.16292	0.16279	0.16221	0.16406	0.16231	0.16194	0.16046	0.14647
6	0.16349	0.14432	0.13989	0.1379	0.13634	0.13737	0.15747	0.16634	0.17109	0.1711	0.17298	0.17127	0.16919	0.16822	0.16704	0.16321	0.17049	0.17179	0.17126	0.1722	0.17135	0.17097	0.16891	0.16776
7	0.15999	0.15888	0.15345	0.14061	0.13992	0.15113	0.16448	0.16694	0.16909	0.16873	0.16881	0.16892	0.16775	0.16668	0.16562	0.15907	0.15502	0.16771	0.16748	0.16717	0.16661	0.16557	0.16104	0.15906
8	0.15785	0.15308	0.15149	0.15062	0.14553	0.15093	0.15757	0.16697	0.16976	0.1698	0.17007	0.16959	0.1692	0.16358	0.15815	0.15935	0.16611	0.16889	0.16919	0.16763	0.16008	0.16284	0.15998	0.15994
9	0.16176	0.15909	0.15796	0.15513	0.14602	0.13607	0.13196	0.14597	0.1499	0.14323	0.1076	0.10682	0.09653	0.07673	0.02264	0.01232	0.01654	0.05185	0.09002	0.09498	0.10086	0.09465	0.11306	0.07989
10	0.07712	0.04932	0.05003	0.03139	0.06331	0.05857	0.06767	0.04189	0.03675	0.03001	0.03008	0.04977	0.02293	0.02382	0.02381	0.07881	0.1256	0.14853	0.14985	0.16114	0.16297	0.16044	0.16043	0.15999
