"class","Response_rate","Responses","Mean_evaluation_score","Standard_deviation","Skewness","Kurtosis","Class_level","Response_level","Subset","Evaluation_level","Eval_test","SD_test","Skew_test","Kurt_test"
15,0.360680578713555,5,2.8,0.836660026534076,0.343621596744546,1.8469387755102,"Small","Low",25,"Low",TRUE,FALSE,TRUE,FALSE
18,0.28179996036121,5,2.4,1.14017542509914,0.27154541788364,1.95562130177515,"Small","Low",1,"Low",TRUE,TRUE,TRUE,FALSE
18,0.248446000374171,4,4.75,0.5,-1.15470053837925,2.33333333333333,"Small","Low",37,"Very High",TRUE,TRUE,FALSE,FALSE
16,0.383558954834585,6,3.5,0.836660026534076,-1.12226343549939,2.63265306122449,"Small","Low",13,"Medium",TRUE,TRUE,FALSE,FALSE
14,0.357037213683629,5,4,1.22474487139159,-0.912870929175277,2.5,"Small","Low",25,"High",TRUE,TRUE,TRUE,FALSE
12,0.335401669736232,4,3.5,1.29099444873581,0,1.64,"Small","Low",1,"Medium",TRUE,TRUE,TRUE,FALSE
11,0.3553993631347,4,4.25,0.5,1.15470053837925,2.33333333333333,"Small","Low",25,"High",TRUE,FALSE,FALSE,FALSE
17,0.301883537483634,5,4.2,0.836660026534076,-0.343621596744546,1.8469387755102,"Small","Low",13,"High",TRUE,TRUE,FALSE,FALSE
14,0.329821452701796,5,4.8,0.447213595499958,-1.5,3.25,"Small","Low",37,"Very High",TRUE,TRUE,TRUE,FALSE
18,0.356432400673822,6,4,1.26491106406735,-0.649519052838329,1.875,"Small","Low",13,"High",TRUE,TRUE,TRUE,FALSE
16,0.291579348727568,5,3.4,1.14017542509914,0.27154541788364,1.95562130177515,"Small","Low",1,"Low",TRUE,TRUE,TRUE,FALSE
14,0.305420093360846,4,4,1.15470053837925,0,1,"Small","Low",13,"High",TRUE,TRUE,FALSE,FALSE
18,0.206301663919248,4,3.25,1.25830573921179,0.652023664684754,2.09695290858726,"Small","Low",13,"Low",TRUE,TRUE,TRUE,FALSE
16,0.322636311460055,5,4.4,0.547722557505166,0.408248290463861,1.16666666666667,"Small","Low",37,"High",TRUE,FALSE,FALSE,FALSE
18,0.362732030587773,7,4.14285714285714,1.0690449676497,-1.17274273429143,3.38020833333334,"Small","Low",13,"High",TRUE,TRUE,FALSE,FALSE
16,0.277232387390069,4,3,1.4142135623731,0.816496580927726,2,"Small","Low",1,"Low",TRUE,TRUE,FALSE,FALSE
19,0.241119780781575,5,3.6,1.14017542509914,-0.27154541788364,1.95562130177515,"Small","Low",25,"Medium",TRUE,TRUE,TRUE,FALSE
