"Subset","Evaluation score","Class size","Response rate","Count of classes","Mean evaluation score","Standard deviation","Skewness","Kurtosis"
"1","Low","Small","Low","10","2.96","1.42","0.14","−0.47"
"2","Low","Small","Medium","7","2.93","1.14","0.12","−1.43"
"3","Low","Small","High","14","3.08","1.27","−0.04","−1.03"
"4","Low","Medium","Low","27","2.88","1.27","0.15","−0.28"
"5","Low","Medium","Medium","35","3.00","1.31","0.03","−0.64"
"6","Low","Medium","High","10","3.06","1.28","−0.13","−0.54"
"7","Low","Large","Low","3","2.66","1.47","0.22","−1.65"
"8","Low","Large","Medium","2","2.99","1.40","−0.25","−0.85"
"9","Low","Large","High","0","N/A","N/A","N/A","N/A"
"10","Low","Very Large","Low","2","3.15","1.25","−0.14","−0.96"
"11","Low","Very Large","Medium","1","3.38","1.37","−0.40","−0.92"
"12","Low","Very Large","High","1","2.11","1.22","0.94","−0.13"
"13","Medium","Small","Low","11","3.73","1.22","−0.40","−1.35"
"14","Medium","Small","Medium","12","3.76","1.02","−0.56","−0.05"
"15","Medium","Small","High","5","3.75","1.23","−0.81","0.59"
"16","Medium","Medium","Low","28","3.71","1.28","−0.58","−0.06"
"17","Medium","Medium","Medium","29","3.74","1.21","−0.66","−0.36"
"18","Medium","Medium","High","14","3.80","1.22","−0.79","0.08"
"19","Medium","Large","Low","1","3.92","1.44","−1.03","−0.40"
"20","Medium","Large","Medium","6","3.80","1.14","−0.72","−0.16"
"21","Medium","Large","High","3","3.82","1.15","−0.82","−0.11"
"22","Medium","Very Large","Low","4","3.75","0.21","−0.66","−0.46"
"23","Medium","Very Large","Medium","1","3.61","N/A","−0.73","0.04"
"24","Medium","Very Large","High","2","3.73","0.15","−0.79","−0.23"
"25","High","Small","Low","17","4.14","1.03","−0.75","0.15"
"26","High","Small","Medium","30","4.20","0.99","−0.81","0.53"
"27","High","Small","High","31","4.26","0.92","−0.77","0.36"
"28","High","Medium","Low","49","4.20","0.95","−0.86","0.44"
"29","High","Medium","Medium","59","4.25","0.92","−1.00","0.78"
"30","High","Medium","High","49","4.25","0.91","−1.09","0.90"
"31","High","Large","Low","9","4.27","0.98","−1.40","1.81"
"32","High","Large","Medium","12","4.27","0.91","−1.22","1.15"
"33","High","Large","High","2","4.38","0.86","−1.68","3.26"
"34","High","Very Large","Low","4","4.27","0.92","−1.43","2.50"
"35","High","Very Large","Medium","2","4.22","0.97","−1.09","0.54"
"36","High","Very Large","High","1","4.33","0.98","−1.54","1.65"
"37","Very High","Small","Low","25","4.68","0.51","−1.38","0.95"
"38","Very High","Small","Medium","46","4.71","0.52","−1.61","1.86"
"39","Very High","Small","High","52","4.68","0.58","−1.69","2.43"
"40","Very High","Medium","Low","68","4.70","0.56","−1.82","2.94"
"41","Very High","Medium","Medium","82","4.69","0.56","−1.80","2.96"
"42","Very High","Medium","High","54","4.71","0.54","−2.18","4.98"
"43","Very High","Large","Low","6","4.7","0.57","−1.87","3.40"
"44","Very High","Large","Medium","11","4.72","0.58","−2.08","3.91"
"45","Very High","Large","High","4","4.75","0.55","−2.37","6.08"
"46","Very High","Very Large","Low","1","4.71","0.56","−1.92","3.18"
"47","Very High","Very Large","Medium","0","N/A","N/A","N/A","N/A"
"48","Very High","Very Large","High","2","4.78","0.47","−2.38","5.76"
