Scenario	Replication	[VaccinationStat].SampleAverage/1[h]		[VaccinationStat].SampleStandardDeviation/1[h]		[VaccinationStat].SampleMaximum/1[h]		[VaccinationStat].SampleMinimum/1[h]		[VaccinationStat].NumberProcessed		[SimPersonArrives].NumberProcessed-[VaccinationStat].NumberProcessed		[SimAdminStaff].UnitsInUseAverage		[SimAdminStaff].UnitsInUseStandardDeviation		[SimAdminStaff].UnitsInUseMinimum		[SimAdminStaff].UnitsInUseMaximum		[SimDoctors].UnitsInUseAverage		[SimDoctors].UnitsInUseStandardDeviation		[SimDoctors].UnitsInUseMinimum		[SimDoctors].UnitsInUseMaximum		[SimVaccStaff].UnitsInUseAverage		[SimVaccStaff].UnitsInUseStandardDeviation		[SimVaccStaff].UnitsInUseMinimum		[SimVaccStaff].UnitsInUseMaximum	
1	1	0.9239850087061314		0.12674459693160794		1.5615473644444442		0.5738765430555556		1640.0		339.0		7.850076621562508		6.426796092468939		0.0		22.0		3.792346542986109		2.4195094199544855		0.0		9.0		12.747096873055554		5.208719392623306		0.0		16.0	
1	2	0.8282911667080546		0.10464592387403301		1.3422600794444444		0.5329044038888888		1745.0		291.0		7.945777543645838		6.349084402252641		0.0		23.0		4.316231719583336		2.523850076990818		0.0		9.0		12.329120736145851		5.4157993451288196		0.0		16.0	
1	3	0.9295993996499073		0.13212000794960327		1.511080635		0.6501521841666666		1694.0		337.0		7.877796080034721		6.46210120958751		0.0		22.0		4.503667165347223		2.469079613106193		0.0		9.0		13.219133731944453		5.432631710292577		0.0		16.0	
1	4	0.8685142172656459		0.10459967118403003		1.3811081383333332		0.6261856027777777		1708.0		308.0		8.30681757378472		6.527858141776678		0.0		22.0		3.847189172673614		2.3614732128871894		0.0		9.0		12.916285665104171		5.443446450341631		0.0		16.0	
1	5	0.8588325244617455		0.10194572715963073		1.4395917188888887		0.6344349655555555		1718.0		312.0		8.308668471249995		6.531451193737521		0.0		22.0		4.3200659309374965		2.4623810697928166		0.0		9.0		12.766326376215261		5.250094674610557		0.0		16.0	
1	6	0.887834595294589		0.10508763537896207		1.5194599491666665		0.6186671813888889		1669.0		307.0		7.626916662395818		6.467828757216848		0.0		21.0		4.18333865034722		2.5124991882773733		0.0		9.0		12.53618578520833		5.533695923391517		0.0		16.0	
1	7	0.8704736810657435		0.10698131944224759		1.3768043038888889		0.5582780222222222		1745.0		249.0		7.8191704460763924		6.5355175567415085		0.0		22.0		4.097714274652773		2.5408881163551236		0.0		9.0		13.073380604444445		5.216599019957021		0.0		16.0	
1	8	0.8202408418389663		0.12898399104240338		1.448094064722222		0.5088566827777777		1667.0		282.0		7.498496173055558		6.270672565704739		0.0		22.0		4.310340025520835		2.422528619481212		0.0		9.0		12.05960411177083		5.505873911519194		0.0		16.0	
1	9	0.8465598639888066		0.10488237236694478		1.4164318669444445		0.6433897888888889		1732.0		263.0		8.069649443854185		6.440120361404753		0.0		23.0		4.5201699059375		2.4436002808993016		0.0		9.0		13.234422704965283		5.089274245985165		0.0		16.0	
1	10	0.8751229455773875		0.12170141625288497		1.445762968611111		0.6221379308333334		1705.0		274.0		7.905083532569471		6.38071068249643		0.0		22.0		4.6327416018055585		2.6930777590292223		0.0		9.0		12.603227323368065		5.335792232700144		0.0		16.0	
1		0.8709454244556978	0.025784191398446156	0.11376926615823478	0.008620210406472976	1.4442141089444442	0.049805055262817234	0.5968883305555556	0.035560654847734276	1702.3	25.14349771133682	296.20000000000005	21.397664493116995	7.920845254822922	0.18536230520443203	6.439214096338757	0.06175886508888424	0.0	0.0	22.1	0.4060414264579415	4.252380498979166	0.19892572041707782	2.4848887356773735	0.06513041937792245	0.0	0.0	9.0	0.0	12.748478391222225	0.2727223475548434	5.343192690654992	0.10485322323034307	0.0	0.0	16.0	0.0
