Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	1	1490.0		3.012873718935564		9.097667104184449		0.9411446135274042		1510.0		9.097359580906788		6.621308778283723		1000.0		3.023636519840339		5.409799555464812		0.8354042447102322		1001.0		5.410443435921587		4.3920794200402735		0.0		3.0		0.0		0.0		2.0	
1	2	1503.0		3.0829352118663227		9.660241943801081		0.9178357393270838		1518.0		9.669757130815245		7.079029917451626		1008.0		2.694835424928431		5.1201090097026185		0.7753303701621136		1008.0		5.1201090097026185		3.882420845741341		0.0		2.0		0.0		0.0		2.0	
1	3	1523.0		3.0115702523567136		9.40192795222754		0.9702544046945122		1537.0		9.383360137920823		6.674670664089377		1005.0		3.0040113227003813		5.692096682038704		0.7619952816418106		1005.0		5.692096682038704		4.662448332993906		0.0		0.0		0.0		0.0		2.0	
1	4	1429.0		2.8263616054129543		7.296408869283263		0.8158316678048634		1445.0		7.296773369033819		5.102122893071466		973.0		2.9875655800229657		4.926481712852851		0.8680382628573557		975.0		4.930734070582412		3.692421152391445		0.0		3.0		0.0		0.0		1.0	
1	5	1454.0		3.0889200053078607		8.79693422022506		0.9888795704744209		1463.0		8.777852008576007		6.40107198154873		993.0		2.8845161133609185		5.147707552971466		0.726403360493106		995.0		5.13678274994905		4.095613227064651		0.0		2.0		0.0		0.0		1.0	
1	6	1473.0		2.8401364769792425		8.339112500699452		0.7993132839914449		1490.0		8.319448995747823		6.34201017145622		998.0		2.8088235418824823		5.650561929191373		0.7901556922345011		999.0		5.638056188924849		4.304273110619258		0.0		3.0		0.0		0.0		0.0	
1	7	1446.0		2.9711894197842117		8.790778510293622		0.9178882936502634		1468.0		8.672728660801907		6.601861589670217		994.0		2.9056594957334356		5.293032153303963		0.7357264165717416		994.0		5.293032153303963		3.8082994323890245		0.0		0.0		0.0		0.0		4.0	
1	8	1510.0		3.048890873535372		8.834186111265526		0.9508128688989486		1519.0		8.843747300110914		6.442055762351784		996.0		2.8544669901671584		4.865742566061614		0.8203860429294492		997.0		4.866602683402354		3.593133708983815		0.0		2.0		0.0		0.0		0.0	
1	9	1426.0		2.960430588946959		8.744204188368485		0.7498671930407076		1452.0		8.616387562470816		6.2457435513027235		1004.0		3.01318474640159		4.958675702197948		0.8362092026900948		1006.0		4.967975558552496		3.980906743237382		0.0		6.0		0.0		1.0		3.0	
1	10	1495.0		2.901567939222089		8.400874289021596		0.8337399993820931		1521.0		8.414677988574745		6.079711455881702		1022.0		2.9136179040415326		4.746522587293551		0.8309177089173925		1023.0		4.7443442889393355		3.776718176166872		0.0		4.0		0.0		0.0		2.0	
1	11	1490.0		3.0003366064780286		8.656818592527218		0.7697743306658936		1506.0		8.639673814190056		6.227993786622373		994.0		2.972100579270487		5.390842911034877		0.7989003930655929		995.0		5.3906222430058115		4.3667256099753695		0.0		2.0		0.0		0.0		0.0	
1	12	1467.0		3.0144588235950476		8.508900109921795		0.7888965306301099		1496.0		8.57083595889875		6.419606604280232		977.0		2.9317069667541693		4.74043016743865		0.7971485609577481		977.0		4.74043016743865		3.572786901927791		0.0		4.0		0.0		0.0		2.0	
1	13	1516.0		2.957918607609053		9.718551038649105		0.7965479160913549		1527.0		9.522406340919165		6.5248881016609435		996.0		2.9432694000293464		5.428002626746126		0.7944107800236572		996.0		5.428002626746126		4.134349401284932		0.0		0.0		0.0		0.0		1.0	
1	14	1495.0		2.8737660829311893		8.774996339929134		0.8912786148830325		1510.0		8.64664701736924		6.437736478117463		1009.0		3.025870360520574		5.75548322021842		0.8890045158325639		1009.0		5.75548322021842		4.449558764570607		0.0		2.0		0.0		0.0		1.0	
1	15	1505.0		3.018186268210106		9.481267203257694		0.8795832245784553		1515.0		9.448962634219647		6.387195389282893		983.0		3.032481534346277		5.329992220437228		0.8359473566822437		984.0		5.328842159575198		4.13051294923154		0.0		0.0		0.0		0.0		0.0	
