Scenario	Replication	[StatsEaten3].NumberProcessed		[StatsEaten3].SampleAverage/1[min]		[StatsEatenQueue3].SampleAverage/1[min]		[StatsEaten3].SampleStandardDeviation/1[min]		[StatsAttempt3].NumberProcessed		[StatsAttempt3].SampleAverage/1[min]		[StatsAttempt3].SampleStandardDeviation/1[min]		[StatsEaten5].NumberProcessed		[StatsEaten5].SampleAverage/1[min]		[StatsEatenQueue5].SampleAverage/1[min]		[StatsEaten5].SampleStandardDeviation/1[min]		[StatsAttempt5].NumberProcessed		[StatsAttempt5].SampleAverage/1[min]		[StatsAttempt5].SampleStandardDeviation/1[min]		[StatsEaten6].NumberProcessed		[StatsEaten6].SampleAverage/1[min]		[StatsEatenQueue6].SampleAverage/1[min]		[StatsEaten6].SampleStandardDeviation/1[min]		[StatsAttempt6].NumberProcessed		[StatsAttempt6].SampleAverage/1[min]		[StatsAttempt6].SampleStandardDeviation/1[min]		[RejectedTwice1].NumberProcessed		[RejectedTwice2].NumberProcessed		[RejectedTwice3].NumberProcessed		[RejectedTwice4].NumberProcessed		[RejectedTwice5].NumberProcessed	
1	1	562.0		2.940726104728703		13.406526274414139		1.1875481935278116		615.0		13.942947203594894		10.297995356659166		572.0		3.0894155417603937		13.59602986552371		0.969790063204445		613.0		14.11980460785		11.226716887346242		745.0		0.7405677227860461		3.637948253314795		0.4116624402350053		745.0		3.637948253314795		2.812238171450361		5.0		0.0		10.0		12.0		13.0	
1	2	588.0		3.1234475225760523		15.542449426101445		0.9062015649120292		639.0		15.812895112435664		11.060489114215667		604.0		2.9929881213893355		15.005060985083167		0.8132785616032836		643.0		15.213080966652305		11.294026644403827		751.0		0.7399986329991143		3.894072005937695		0.36311369122151693		751.0		3.894072005937695		2.797976951996681		6.0		0.0		10.0		10.0		13.0	
1	3	576.0		2.9853001015387886		12.812766876485568		0.9451411292389309		627.0		13.360813355674274		9.34173070586644		639.0		2.9317227175263576		14.418894820634348		0.9392264208650487		684.0		14.641352305655282		11.206226327344305		747.0		0.8060852716441411		4.874238598278085		0.47545310193309714		747.0		4.874238598278085		4.031703274772975		6.0		0.0		9.0		12.0		12.0	
1	4	649.0		2.6919592294919696		12.431216125926248		0.8280218922699615		696.0		12.996172344732738		9.070395429540662		601.0		2.9940971186311414		12.251956043835657		0.981650360394829		637.0		12.442140139346817		8.780665911510512		731.0		0.7250085684412608		3.252449468630679		0.3553417365201381		731.0		3.252449468630679		2.1392201238023794		2.0		0.0		6.0		13.0		13.0	
1	5	569.0		3.043838097401471		14.111426089573333		1.0704820862053779		616.0		14.538718896318473		10.717468140613201		573.0		2.8050732618437233		13.104155792836107		0.9079667817780703		617.0		13.00411091928751		11.156223085392467		737.0		0.6876804986229982		3.188160640256742		0.3970033037209055		737.0		3.188160640256742		2.1707642070165676		6.0		0.0		6.0		12.0		13.0	
1	6	640.0		2.6479773308542174		13.674858665205038		0.877747393834257		691.0		13.71365595293639		9.975414368165824		656.0		2.7679529873841036		13.686534836752946		0.8989509590512536		694.0		14.006612676193148		10.212263336272105		744.0		0.6893870304580011		3.3555405439432575		0.335562904503308		744.0		3.3555405439432575		2.5905445167764705		3.0		0.0		7.0		12.0		13.0	
1	7	616.0		2.9002412345099193		13.392872577136314		0.9613945770836125		662.0		13.602604129308832		10.050331117912496		635.0		2.843835483829911		14.221813610580421		0.9000761871669537		676.0		13.987993823974291		10.35581375170373		740.0		0.7579633233831691		4.350215348635284		0.34817442784564956		740.0		4.350215348635284		2.912968504946278		4.0		0.0		5.0		13.0		13.0	
1	8	543.0		3.02952600673022		13.166013532953482		0.9837962343554113		591.0		13.40935660365083		10.319440218777324		570.0		2.906481929714389		12.591491017935654		0.9967772363064142		611.0		12.746585817018964		9.029576201225138		741.0		0.8375187067054763		4.089932863813483		0.47444276989964806		741.0		4.089932863813483		2.799419690439372		5.0		0.0		8.0		13.0		13.0	
1	9	543.0		2.958546665509062		12.407819615667753		0.7692580963510814		592.0		12.7523128080854		9.043498991430974		632.0		2.7852340051382862		12.678220880491017		0.8760653060837008		675.0		12.459116687181067		9.21976258597678		752.0		0.6721141602284193		3.5612294643909816		0.37577305572873015		752.0		3.5612294643909816		2.2717983530502854		5.0		0.0		9.0		12.0		13.0	
1	10	642.0		2.920441768144003		13.019029873826439		0.9778670605202133		689.0		12.568400616570358		8.637871122992873		639.0		2.72409627674683		13.142918269956551		0.8926645106223602		678.0		13.209083192888462		9.431510437543917		758.0		0.7066357029364275		3.842787641794485		0.44822718790005917		758.0		3.842787641794485		2.4815719724364427		3.0		0.0		7.0		12.0		12.0	
